6.583850931677018847e-01,6.645962732919254989e-01,8.136645962732919068e-01,8.136645962732919068e-01,8.198757763975155211e-01,8.074534161490682926e-01,8.136645962732919068e-01,4.223602484472049889e-01,7.018633540372670732e-01,9.937888198757763858e-01,9.378881987577639689e-01,6.645962732919254989e-01,9.937888198757763858e-01,9.378881987577639689e-01,8.074534161490682926e-01,7.763975155279503326e-01,6.956521739130434590e-01,9.875776397515527716e-01,9.316770186335403547e-01,8.012422360248446784e-01,6.894409937888198447e-01,9.813664596273291574e-01,8.012422360248446784e-01,8.074534161490682926e-01,4.223602484472049889e-01,6.956521739130434590e-01,9.875776397515527716e-01,9.316770186335403547e-01,6.583850931677018847e-01,9.875776397515527716e-01,9.316770186335403547e-01,8.012422360248446784e-01,7.701863354037267184e-01,6.894409937888198447e-01,9.813664596273291574e-01,9.254658385093167405e-01,7.950310559006210642e-01,6.832298136645962305e-01,9.751552795031055432e-01,6.521739130434782705e-01
9.937888198757763858e-01,1.304347826086956486e-01,7.018633540372670732e-01,9.627329192546584258e-01,7.950310559006210642e-01,4.534161490683230045e-01,9.378881987577639689e-01,7.204968944099379158e-01,4.534161490683230045e-01,9.565217391304348116e-01,9.378881987577639689e-01,8.322981366459627495e-01,6.832298136645963138e-02,7.453416149068322616e-01,6.956521739130434590e-01,6.832298136645963138e-02,9.875776397515527716e-01,6.956521739130434590e-01,9.440993788819875832e-01,5.714285714285713969e-01,9.565217391304348116e-01,8.385093167701863637e-01,5.714285714285713969e-01,7.701863354037267184e-01,7.142857142857143016e-01,9.565217391304348116e-01,8.633540372670807095e-01,6.894409937888198447e-01,7.391304347826086474e-01,6.894409937888198447e-01,9.565217391304348116e-01,7.142857142857143016e-01,8.633540372670807095e-01,8.322981366459627495e-01,9.006211180124223947e-01,9.006211180124223947e-01,7.142857142857143016e-01,8.322981366459627495e-01,7.329192546583851442e-01,8.695652173913043237e-01
2.795031055900620842e-01,6.024844720496894679e-01,6.335403726708074279e-01,5.527950310559006653e-01,1.863354037267080654e-01,2.732919254658385255e-01,2.732919254658385255e-01,5.527950310559006653e-01,5.527950310559006653e-01,2.732919254658385255e-01,2.732919254658385255e-01,5.465838509316770510e-01,9.813664596273291574e-01,5.465838509316770510e-01,5.465838509316770510e-01,5.465838509316770510e-01,3.788819875776397450e-01,5.465838509316770510e-01,5.465838509316770510e-01,5.465838509316770510e-01,3.788819875776397450e-01,5.465838509316770510e-01,6.024844720496894679e-01,3.229813664596273282e-01,5.838509316770186253e-01,6.024844720496894679e-01,2.608695652173912971e-01,6.335403726708074279e-01,9.937888198757763858e-01,2.173913043478260809e-01,4.968944099378881651e-02,5.527950310559006653e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.465838509316770510e-01,1.552795031055900499e-01,6.024844720496894679e-01,5.962732919254658537e-01,1.863354037267080654e-01,5.155279503105589800e-01
3.975155279503105321e-01,3.975155279503105321e-01,6.956521739130434590e-01,6.894409937888198447e-01,7.204968944099379158e-01,7.142857142857143016e-01,7.453416149068322616e-01,7.391304347826086474e-01,7.204968944099379158e-01,7.142857142857143016e-01,8.757763975155279379e-01,8.695652173913043237e-01,5.838509316770186253e-01,2.111801242236024945e-01,9.627329192546584258e-01,9.565217391304348116e-01,7.267080745341615300e-01,7.204968944099379158e-01,7.515527950310558758e-01,7.453416149068322616e-01,7.267080745341615300e-01,7.204968944099379158e-01,9.627329192546584258e-01,9.565217391304348116e-01,5.838509316770186253e-01,2.111801242236024945e-01,8.757763975155279379e-01,8.695652173913043237e-01,7.453416149068322616e-01,7.391304347826086474e-01,7.204968944099379158e-01,7.142857142857143016e-01,8.447204968944099779e-01,8.385093167701863637e-01,7.267080745341615300e-01,7.204968944099379158e-01,5.900621118012422395e-01,7.018633540372670732e-01,6.956521739130434590e-01,9.627329192546584258e-01
7.763975155279503326e-01,8.322981366459627495e-01,8.074534161490682926e-01,8.447204968944099779e-01,9.316770186335403547e-01,9.378881987577639689e-01,9.937888198757763858e-01,4.658385093167701774e-01,6.645962732919254989e-01,7.018633540372670732e-01,7.826086956521739468e-01,9.378881987577639689e-01,7.950310559006210642e-01,9.254658385093167405e-01,6.894409937888198447e-01,8.012422360248446784e-01,9.316770186335403547e-01,9.378881987577639689e-01,9.937888198757763858e-01,1.428571428571428492e-01,7.018633540372670732e-01,8.447204968944099779e-01,7.639751552795031042e-01,9.254658385093167405e-01,6.521739130434782705e-01,8.385093167701863637e-01,9.316770186335403547e-01,8.447204968944099779e-01,9.378881987577639689e-01,3.043478260869565410e-01,6.645962732919254989e-01,8.074534161490682926e-01,6.832298136645962305e-01,9.254658385093167405e-01,6.894409937888198447e-01,8.012422360248446784e-01,9.316770186335403547e-01,9.875776397515527716e-01,6.583850931677018847e-01,1.428571428571428492e-01
7.142857142857143016e-01,7.080745341614906874e-01,4.968944099378881651e-02,6.894409937888198447e-01,7.142857142857143016e-01,7.080745341614906874e-01,4.968944099378881651e-02,6.521739130434782705e-01,9.503105590062111974e-01,2.111801242236024945e-01,6.521739130434782705e-01,7.080745341614906874e-01,3.540372670807453437e-01,9.503105590062111974e-01,7.080745341614906874e-01,1.366459627329192628e-01,9.813664596273291574e-01,7.080745341614906874e-01,1.180124223602484479e-01,8.944099378881987805e-01,7.142857142857143016e-01,7.080745341614906874e-01,8.633540372670807095e-01,1.863354037267080654e-01,9.254658385093167405e-01,1.863354037267080654e-01,8.944099378881987805e-01,9.813664596273291574e-01,1.925465838509316796e-01,9.751552795031055432e-01,6.459627329192546563e-01,9.751552795031055432e-01,8.881987577639751663e-01,1.863354037267080654e-01,7.080745341614906874e-01,9.254658385093167405e-01,1.863354037267080654e-01,8.944099378881987805e-01,9.813664596273291574e-01,1.925465838509316796e-01
1.490683229813664634e-01,6.211180124223602411e-02,1.490683229813664634e-01,9.440993788819875832e-01,9.565217391304348116e-01,5.714285714285713969e-01,8.385093167701863637e-01,5.714285714285713969e-01,6.956521739130434590e-01,8.260869565217391353e-01,3.354037267080745566e-01,5.714285714285713969e-01,7.763975155279503326e-01,5.714285714285713969e-01,6.832298136645962305e-01,7.453416149068322616e-01,6.832298136645963138e-02,3.229813664596273282e-01,6.832298136645963138e-02,7.763975155279503326e-01,8.260869565217391353e-01,3.229813664596273282e-01,6.832298136645963138e-02,6.956521739130434590e-01,6.832298136645963138e-02,9.440993788819875832e-01,7.763975155279503326e-01,5.714285714285713969e-01,3.354037267080745566e-01,5.714285714285713969e-01,7.453416149068322616e-01,8.260869565217391353e-01,3.354037267080745566e-01,8.447204968944099779e-01,9.378881987577639689e-01,9.440993788819875832e-01,4.534161490683230045e-01,4.534161490683230045e-01,2.857142857142856984e-01,8.447204968944099779e-01
8.012422360248446784e-01,8.944099378881987805e-01,6.335403726708074279e-01,9.006211180124223947e-01,7.204968944099379158e-01,8.012422360248446784e-01,9.813664596273291574e-01,1.863354037267080654e-01,9.875776397515527716e-01,7.763975155279503326e-01,8.944099378881987805e-01,8.012422360248446784e-01,6.335403726708074279e-01,9.006211180124223947e-01,7.204968944099379158e-01,9.813664596273291574e-01,8.012422360248446784e-01,1.863354037267080654e-01,9.875776397515527716e-01,8.819875776397515521e-01,5.403726708074534368e-01,8.136645962732919068e-01,7.018633540372670732e-01,6.645962732919254989e-01,9.937888198757763858e-01,8.757763975155279379e-01,8.074534161490682926e-01,6.956521739130434590e-01,6.583850931677018847e-01,8.695652173913043237e-01,9.875776397515527716e-01,8.012422360248446784e-01,6.894409937888198447e-01,6.521739130434782705e-01,9.813664596273291574e-01,8.633540372670807095e-01,7.950310559006210642e-01,6.832298136645962305e-01,6.459627329192546563e-01,9.751552795031055432e-01
2.173913043478260809e-01,0.000000000000000000e+00,9.565217391304348116e-01,1.118012422360248476e-01,2.173913043478260809e-01,3.291925465838509424e-01,8.322981366459627495e-01,6.894409937888198447e-01,6.521739130434782705e-01,6.894409937888198447e-01,8.385093167701863637e-01,5.279503105590062084e-01,7.701863354037267184e-01,6.521739130434782705e-01,7.701863354037267184e-01,6.894409937888198447e-01,8.012422360248446784e-01,7.701863354037267184e-01,6.832298136645962305e-01,8.012422360248446784e-01,3.291925465838509424e-01,8.322981366459627495e-01,6.894409937888198447e-01,6.521739130434782705e-01,6.894409937888198447e-01,5.279503105590062084e-01,8.385093167701863637e-01,7.701863354037267184e-01,6.521739130434782705e-01,7.701863354037267184e-01,6.894409937888198447e-01,8.012422360248446784e-01,7.701863354037267184e-01,6.832298136645962305e-01,8.012422360248446784e-01,3.291925465838509424e-01,8.322981366459627495e-01,6.894409937888198447e-01,6.521739130434782705e-01,6.894409937888198447e-01
7.950310559006210642e-01,6.211180124223602064e-03,9.751552795031055432e-01,5.403726708074534368e-01,7.950310559006210642e-01,6.211180124223602064e-03,5.403726708074534368e-01,9.751552795031055432e-01,5.403726708074534368e-01,9.751552795031055432e-01,7.950310559006210642e-01,6.211180124223602064e-03,5.403726708074534368e-01,9.751552795031055432e-01,8.012422360248446784e-01,6.211180124223602064e-03,5.403726708074534368e-01,9.813664596273291574e-01,5.403726708074534368e-01,9.813664596273291574e-01,8.012422360248446784e-01,6.211180124223602064e-03,5.403726708074534368e-01,9.813664596273291574e-01,5.403726708074534368e-01,2.795031055900620842e-01,5.403726708074534368e-01,2.795031055900620842e-01,5.403726708074534368e-01,2.795031055900620842e-01,5.403726708074534368e-01,2.795031055900620842e-01,5.403726708074534368e-01,2.795031055900620842e-01,5.403726708074534368e-01,2.795031055900620842e-01,5.403726708074534368e-01,2.795031055900620842e-01,5.403726708074534368e-01,2.795031055900620842e-01
